!SIL	SIL
<UNK>	SPN
WHEREVER	W EH R EH V AH
WHEREVER	W ER R EH V ER
WHICH	W IH CH
WHILE	W AY L
WHILE	W EH OW
WHITE	W AY T
WHO	HH UW
WHY	W AY
WHY	W AY Y
WIDE	DH IH S AH
WIDE	HH W AY D
WIDE	W AY D
WIDER	W AY D AH R
WIDER	W AY D ER
WILD	W AW D
WILD	W AW TH
WILD	W AY AW D AH
WILD	W AY L D
WILL	UW W IH L
WILL	V IH AH OW
WILL	V IH L
WILL	V W IH OW
WILL	W AH
WILL	W AH AO
WILL	W AH L
WILL	W AH OW
WILL	W ER
WILL	W IH AH
WILL	W IH AH L
WILL	W IH AH OW
WILL	W IH L
WILL	W IH OW
WILL	W IY L
WILL	W OW
WILL	W UH AH AO
WILL	W UH L
WINE	W AY N
WINGS	W IH NG S
WINGS	W IY NG S
WINTER	W IH N T ER
WISH	W AH SH
WISH	W IH SH
WISHING	W IH SH IH NG
WISHING	W IH SH IY NG
WITH	IH CH
WITH	IH V IH
WITH	UW W IH TH
WITH	W IH
WITH	W IH DH
WITH	W IH F
WITH	W IH S
WITH	W IH T
WITH	W IH TH
WITH	W IH Z
WITH	W IY
WITHOUT	W IH D AW T
WITHOUT	W IH DH AW D
WITHOUT	W IH DH AW T
WITHOUT	W IH V AW CH
WON'T	W AO AH N CH
WON'T	W OW AH N
WON'T	W OW N
WON'T	W OW N T
WONDER	W AA N D AH
WONDER	W AA N D AH OW
WONDER	W AA N D AH R
WONDER	W AA N D ER
WONDER	W AH EH N D AH ER
WONDER	W AH N D AH
WONDER	W AH N D AH ER
WONDER	W AH N D EH ER
WONDER	W AH N D EH R
WONDER	W AH N D ER
WONDER	W AO AH N D ER
WONDER	W AO AH N D ER R
WONDER	W AO N D AH
WONDERFUL	HH W AH N D EH ER F UW L
WONDERFUL	HH W AH N EH ER F UW L
WONDERFUL	V W AH N D AH F OW L
WONDERFUL	V W AO AH N D AH F OW L
WONDERFUL	W AA AH N D AH F OW
WONDERFUL	W AH N D AH ER F UW L
WONDERFUL	W AH N D AH F AH OW
WONDERFUL	W AH N D AH F OW
WONDERFUL	W AH N D AH F OW L
WONDERFUL	W AH N D ER F OW
WONDERFUL	W AH N D ER F OW L
WONDERFUL	W AH N DH IH AH ER F UW L
WONDERFUL	W AO N D ER F OW L
WONDERING	HH W AH N JH R IH N
WONDERING	W AH N D R IH NG
WONDERING	W AH N JH R IH NG
WONDERING	W AO AH N D R IH NG
WORLD	W AH
WORLD	W AH ER OW
WORLD	W AH ER OW D
WORLD	W AH ER R OW S
WORLD	W AH OW T
WORLD	W AO
WORLD	W ER AH
WORLD	W ER AH D
WORLD	W ER AH ER OW UW D
WORLD	W ER AH OW UW
WORLD	W ER L
WORLD	W ER L D
WORLD	W ER OW
WORLD	W ER OW D
WORLD	W OW
WORLD	W OW D
WORTH	W ER
WORTH	W ER TH
WOULD	W AH D
WOULD	W UH
WOULD	W UW
WRONG	R AO NG
YE	Y EY
YEAH	HH Y EH
YEAH	Y AE
YEAH	Y AY
YEAH	Y EH
YEAH	Y EH AA
YEARS	Y IY IH S
YEARS	Y IY R S
YELLOW	Y AE L OW
YELLOW	Y AH L OW
YELLOW	Y EH AH L OW
YELLOW	Y EH L OW
YES	Y AE EH S
YES	Y AE S
YES	Y EH S
YESTERDAY	Y EH S TH ER D EY
YESTERDAY	Y IH S AH D EY
YESTERDAY	Y IH S AH Z EY
YEY	Y EY
YON	Y AA N
YON	Y AO N
YOU	HH IH UW W
YOU	HH Y UW
YOU	HH Y UW W
YOU	IH UW
YOU	IY HH Y UW
YOU	IY UW
YOU	IY Y UW
YOU	SIL Y UW
YOU	UW
YOU	Y AH
YOU	Y IH
YOU	Y IY
YOU	Y OW
YOU	Y UH
YOU	Y UH UW
YOU	Y UW
YOU	Y UW AH
YOU	Y UW AO
YOU	Y UW M
YOU	Y UW R
YOU	Y UW W
YOU	Y W
YOU'LL	Y AH UH
YOU'LL	Y IH L AH
YOU'LL	Y OW
YOU'LL	Y UW
YOU'LL	Y UW L
YOU'LL	Y UW OW
YOU'LL	Y UW W OW
YOU'RE	Y UW ER
YOU'VE	Y AH V
YOU'VE	Y IH V
YOU'VE	Y UW
YOU'VE	Y UW F
YOU'VE	Y UW V
YOUR	Y AH OW
YOUR	Y AH R
YOUR	Y AO
YOUR	Y AO AH
YOUR	Y AO ER
YOUR	Y AO ER R
YOUR	Y AO R
YOUR	Y ER
YOUR	Y OW
YOUR	Y UH ER
YOURS	Y AO AH S
YOURS	Y AO ER S
YOURS	Y AO S
YOURS	Y OW AH S
